location,per change,abs change,avg,standard dev
saint louis mo,2065.09433962,145.933333333,7.06666666667,18.0165356147
your mom,1444.87179487,225.4,15.6,34.5828473861
in a galaxy far far away,inf,123.0,0.0,0.0
temuco chile,1641.07142857,61.2666666667,3.73333333333,13.968854244
plainfield il,inf,121.0,0.0,0.0
east lansing michigan,inf,89.0,0.0,0.0
nairobikenya,374.332648871,121.533333333,32.4666666667,26.5828683345
stratford,63.8655462185,25.3333333333,39.6666666667,33.6504911637
winterfell,inf,75.0,0.0,0.0
panama city fl,inf,55.0,0.0,0.0
mars ,183.742331288,119.8,65.2,36.3505158148
名古屋,2.57680872151,10.4,403.6,52.6013941514
bogotá dc,78.5425101215,64.6666666667,82.3333333333,42.8931488961
tucsonaz,inf,75.0,0.0,0.0
704,1129.72972973,83.6,7.4,18.8884444392
strong island,inf,51.0,0.0,0.0
sydney australia,162.537055336,877.266666667,539.733333333,70.4977225794
hammond la,inf,54.0,0.0,0.0
chicagoland,inf,131.0,0.0,0.0
n/a,2092.30769231,72.5333333333,3.46666666667,12.9710789408
702,inf,63.0,0.0,0.0
703,inf,91.0,0.0,0.0
ecuador ,50.5989731888,59.1333333333,116.866666667,15.6156616539
argentina buenos aires,-16.8126094571,-19.2,114.2,31.7704265001
south bend in,4762.06896552,184.133333333,3.86666666667,14.4677418955
californiaa,inf,137.0,0.0,0.0
vegas ,244.749816427,1555.46666667,635.533333333,131.81546023
in my own zone,523.700623701,167.933333333,32.0666666667,35.1880030061
416,inf,59.0,0.0,0.0
russia moscow,370.414201183,41.7333333333,11.2666666667,22.6699997549
宮城県仙台市,-2.0979020979,-1.8,85.8,11.2261599252
兵庫,-0.619637750238,-2.6,419.6,110.580166998
miami beach fl,inf,125.0,0.0,0.0
cwb,-58.6587046394,-85.1333333333,145.133333333,76.9518175368
katy texas,1528.28947368,154.866666667,10.1333333333,25.8453520429
west coast,266.923076923,231.333333333,86.6666666667,20.8571863448
henderson nv,inf,88.0,0.0,0.0
british columbia,6938.46153846,240.533333333,3.46666666667,12.9710789408
twin cities,inf,178.0,0.0,0.0
my own world,283.13177648,905.266666667,319.733333333,55.7858604148
aurora colorado,431.25,124.2,28.8,31.4159195313
the mitten,471.917808219,137.8,29.2,27.4741090241
springfield va,inf,73.0,0.0,0.0
winston-salem,inf,211.0,0.0,0.0
brisbane australia,128.422619048,172.6,134.4,15.6153770368
愛知県名古屋市,7.8125,8.33333333333,106.666666667,17.4572493697
shreveport,724.750830565,290.866666667,40.1333333333,28.869514871
santa monica ca,inf,150.0,0.0,0.0
san jose ca,274.360068259,428.733333333,156.266666667,45.5096570948
new york ny ,inf,96.0,0.0,0.0
the land of ooo,321.518987342,84.6666666667,26.3333333333,28.3164655673
florida,361.101117821,7494.53333333,2075.46666667,373.234665533
believe tour,131.27753304,39.7333333333,30.2666666667,38.2961558848
the court,259.933035714,310.533333333,119.466666667,45.7877227601
jakarta - indonesia,-3.66350067843,-5.4,147.4,26.4922630215
idgaf avenue,inf,58.0,0.0,0.0
the hills,inf,52.0,0.0,0.0
troy al,inf,60.0,0.0,0.0
kansas ,414.750150512,1837.06666667,442.933333333,180.228916166
in the clouds,293.230349841,430.266666667,146.733333333,27.0591122463
tokyo japan,49.0580847724,208.333333333,424.666666667,25.2736138207
melbourne australia ,1483.33333333,53.4,3.6,13.4699665924
bama,435.419532325,2954.46666667,678.533333333,322.739702478
marvin's room,2423.80952381,101.8,4.2,15.7149610245
columbus ohio,402.655337228,1010.93333333,251.066666667,42.2034227153
guanajuato,322.907488987,48.8666666667,15.1333333333,25.1472110227
bmore,inf,54.0,0.0,0.0
unknown,213.381436537,433.733333333,203.266666667,49.7774603164
lampung,-9.77443609023,-44.2,452.2,137.25994803
north carolina,421.63776178,3436.06666667,814.933333333,236.083732792
flint mi,4806.77966102,189.066666667,3.93333333333,14.7171857213
louisiana ,432.738095238,145.4,33.6,31.8806106173
sarasota fl,inf,90.0,0.0,0.0
fort lauderdale fl,inf,249.0,0.0,0.0
downey,1001.15606936,115.466666667,11.5333333333,23.0705199094
evansville,1449.8489426,319.933333333,22.0666666667,31.8610873777
belo horizonte,7.79537149817,4.26666666667,54.7333333333,53.7642590905
cincinnatiohio,inf,61.0,0.0,0.0
murfreesboro tn,456.856187291,182.133333333,39.8666666667,33.3763722148
concord nc,3476.92307692,120.533333333,3.46666666667,12.9710789408
atl ga,3341.17647059,113.6,3.4,12.721635115
columbia mo,430.430220357,273.466666667,63.5333333333,31.4576258199
peoria,1736.20689655,134.266666667,7.73333333333,19.8812027358
columbia md,inf,61.0,0.0,0.0
d[m]v ,1364.0,113.666666667,8.33333333333,21.4216920174
in my skin,300.953678474,736.333333333,244.666666667,56.2360106061
detroit mi,260.831809872,1141.4,437.6,62.7298971783
huntsville al,753.325415677,422.866666667,56.1333333333,50.2326144607
caracas venezuela ,870.588235294,69.0666666667,7.93333333333,20.2664473672
jamaica ,166.968325792,73.8,44.2,27.2009803745
jakarta ,-18.0342444873,-473.266666667,2624.26666667,693.241416984
under the sea,257.883817427,331.466666667,128.533333333,32.9178101067
la plata,-6.38099673964,-18.2666666667,286.266666667,77.3954922604
miami  fl,inf,72.0,0.0,0.0
outerspace,inf,76.0,0.0,0.0
on the court ,1104.72440945,93.5333333333,8.46666666667,21.7159439634
sweden,432.913843175,298.133333333,68.8666666667,22.3483531583
silent hill,147.005988024,32.7333333333,22.2666666667,32.7484690058
storrs ct,inf,60.0,0.0,0.0
clemson,inf,232.0,0.0,0.0
villahermosatabasco,109.87654321,35.6,32.4,30.9166621743
brooklyn new york,345.426425099,521.133333333,150.866666667,22.3483531583
sp,214.30976431,2546.0,1188.0,198.978055741
kuala lumpur ,29.6423070341,115.466666667,389.533333333,78.2200883547
جده,334.87394958,53.1333333333,15.8666666667,26.429444859
london england,210.852237891,229.266666667,108.733333333,20.7732734274
trenton nj,2130.26315789,107.933333333,5.06666666667,18.9577307597
wish a nigga woods,inf,76.0,0.0,0.0
sevilla,56.7164179104,20.2666666667,35.7333333333,51.755150039
winston salem nc,inf,76.0,0.0,0.0
