location,in_time,per change,abs change,avg,standard dev,main hr count
ca,2012-08-10 18:00:00,12.9583141543,3350.1,25852.9,2565.55438258,29203
ca,2012-08-10 15:00:00,17.0165416294,3708.5,21793.5,2728.27994348,25502
ca,2012-08-11 16:00:00,12.3852372812,3050.1,24626.9,2183.0010284,27677
ca,2012-08-12 21:00:00,74.1707770788,20882.875,28155.125,4986.17509815,49038
ca,2012-08-12 23:00:00,23.3390758356,5910.125,25322.875,2808.88284899,31233
ca,2012-07-27 22:00:00,32.9471965161,9456.875,28703.125,7774.45883064,38160
ca,2012-08-13 01:00:00,35.9365849578,8591.0,23906.0,4319.76608163,32497
ca,2012-08-03 01:00:00,21.6953394129,5266.625,24275.375,4876.37562482,29542
ca,2012-07-31 07:00:00,8.20684965202,1134.4,13822.6,997.580893963,14957
ca,2012-07-31 17:00:00,11.1653823911,2857.4,25591.6,2054.05025255,28449
ca,2012-08-10 14:00:00,15.1467786284,2655.2,17529.8,1930.68940019,20185
ca,2012-08-12 05:00:00,149.616211237,12669.8,8468.2,10004.9665847,21138
ca,2012-08-13 02:00:00,58.3348775487,12198.625,20911.375,9973.6397185,33110
ca,2012-08-01 11:00:00,20.6834054276,1711.8,8276.2,1192.65198612,9988
ca,2012-07-27 20:00:00,43.6820532495,12397.8888889,28382.1111111,5311.6681507,40780
ca,2012-08-03 08:00:00,5.01738796339,509.3,10150.7,465.143429492,10660
ca,2012-08-11 04:00:00,200.937257782,17911.1818182,8913.81818182,12017.0404224,26825
ca,2012-07-30 19:00:00,10.115112626,2779.66666667,27480.3333333,1968.26065347,30260
ca,2012-08-01 06:00:00,33.2155576514,4719.2,14207.8,4296.80148017,18927
ca,2012-08-01 12:00:00,15.1604749869,1589.5,10484.5,1545.74799046,12074
ca,2012-08-12 04:00:00,171.726582784,15633.3636364,9103.63636364,12279.1133695,24737
ca,2012-08-11 05:00:00,161.594220177,13554.2,8387.8,9899.03766838,21942
ca,2012-08-03 09:00:00,8.38463979689,660.5,7877.5,490.310972751,8538
ca,2012-08-01 07:00:00,7.42170556086,1026.6,13832.4,1008.13959351,14859
