change,perc_change,total_count,location
189.46667,10.90435,1927,"dallas,tx"
483.33333,10.9039,4916,"toronto, ontario"
257.26667,10.87931,2622,utrecht
149.86667,10.84314,1532,bruxelles
147.33333,10.81213,1510,torino
264.6,10.77186,2721,"buenos aires, argentina."
161.46667,10.76062,1662,here and there
590.06667,10.75992,6074,granada
109.93333,10.73498,1134,piracicaba
226.4,10.6311,2356,mexico d.f.
1467.86667,10.61584,15295,miami
122.93333,10.61539,1281,lima - peru
110.33333,10.61238,1150,"omaha, nebraska"
293.13333,10.60208,3058,"atlanta,ga"
339.66667,10.60023,3544,malaga
281.26667,10.5989,2935,guayaquil-ecuador
121.26667,10.54737,1271,_À_µ„Û__„Î
104.86667,10.52737,1101,"savannah, ga"
131.26667,10.47006,1385,miami florida
151.46667,10.45655,1600,barquisimeto
126.46667,10.45582,1336,‹»‹Ó‹âã
101.86667,10.43573,1078,somewhere over the rainbow 
100.66667,10.40662,1068,‹â‹»‹Ù‹¨ŒÀÄ‹¨Šü_
288.73333,10.39631,3066,houston tx
317,10.37983,3371,chicago 
144.06667,10.37247,1533,bogota colombia
767.8,10.36699,8174,cali
893.8,10.29225,9578,dubai
126.13333,10.28093,1353,where in the world are you?
101.86667,10.2778,1093,around
156.26667,10.25551,1680,"bristol, uk"
392.2,10.23807,4223,houstatlantavegas
234.6,10.23382,2527,"stockholm, sweden"
192,10.2182,2071,campeche
99,10.21672,1068,ŒÉÇ_ÜŒ_
234.73333,10.21349,2533,"cali, colombia"
132.4,10.21132,1429,mississauga
720.13333,10.18595,7790,pittsburgh
115.93333,10.17792,1255,"adelaide, australia"
443.6,10.17338,4804,"dublin, ireland"
212.53333,10.16679,2303,charlotte
210.93333,10.16514,2286,texas 
270.13333,10.12544,2938,nashville
100,10.07049,1093,"sheffield, uk"
111,10.06346,1214,manchester uk
107.46667,10.0574,1176,"arlington, tx"
6276.26667,10.05623,68688,istanbul
159.86667,10.04735,1751,louisville
108.13333,9.99507,1190,atlantis
186.86667,9.97615,2060,internet
110.4,9.93163,1222,burgos
90.73333,9.87019,1010,‹ ‹©‹âÒÏÎ
1222,9.86598,13608,russia
127.66667,9.86351,1422,‰ÛÊ
182.06667,9.86312,2028,strasbourg
114.86667,9.85022,1281,fort worth
89.93333,9.84959,1003,¯¤ôãôâ¯µô_ôÉ
97.8,9.83705,1092,fresno
166.06667,9.82682,1856,quito
240.6,9.82281,2690,jerez de la frontera
94.2,9.81454,1054,marte
191.93333,9.80719,2149,africa
126.86667,9.78054,1424,"tuscaloosa, al"
145.4,9.72836,1640,where the wild things are 
143.4,9.70493,1621,charlotte nc
101.46667,9.70478,1147,on the moon
129.46667,9.68675,1466,hyderabad
297.13333,9.67903,3367,caracas - venezuela
262.6,9.66009,2981,oxford
133.8,9.65925,1519,jaÌ©n
145.2,9.64271,1651,"tegucigalpa, honduras"
258.8,9.63443,2945,jupiter
131.06667,9.61651,1494,boston 
560.8,9.58436,6412,“ãÏ“_ü
103,9.5814,1178,maracaibo - venezuela
95.06667,9.57433,1088,where i wanna be
95.13333,9.52413,1094,heaven 
382.53333,9.52413,4399,"chicago, illinois"
259.2,9.51262,2984,salamanca
